num_layers,dropout_ratio,pooling_ratio,edge_ratio,weight_decay,batch_size,dataset,K,id,lr,reward
5,0,0.543869989,0.5006778908369726,0,256,DD,3,kMlM8,0.001,0.7647058823529411
5,0,0.543869989,0.25323454929803624,0,256,DD,3,FfwFd,0.001,0.8319327731092437
5,0,0.543869989,0.9177837184116153,0,256,DD,3,JQPB1,0.001,0.8151260504201681
5,0,0.543869989,0.5262440150542367,0,256,DD,3,feYFS,0.001,0.8235294117647058
5,0,0.543869989,0.6542885146243453,0,256,DD,3,aydU9,0.001,0.8319327731092437
5,0,0.543869989,0.5479175617962808,0,256,DD,3,A5vkz,0.001,0.8319327731092437
5,0,0.543869989,0.7398644777629232,0,256,DD,3,lTxgq,0.001,0.8235294117647058
5,0,0.543869989,0.2526531420500398,0,256,DD,3,MmEDF,0.001,0.8235294117647058
5,0,0.543869989,0.9279480289018045,0,256,DD,3,Iixf9,0.001,0.7815126050420168
5,0,0.543869989,0.9603464754616121,0,256,DD,3,rU07I,0.001,0.7899159663865546
5,0,0.543869989,0.24721760805714965,0,256,DD,3,VEPSV,0.001,0.8319327731092437
5,0,0.543869989,0.4844927028310517,0,256,DD,3,LScAa,0.001,0.7815126050420168
5,0,0.543869989,0.41506178371990754,0,256,DD,3,PgFps,0.001,0.7983193277310925
5,0,0.543869989,0.19763773492272013,0,256,DD,3,K7JLh,0.001,0.8235294117647058
5,0,0.543869989,0.5438082429252881,0,256,DD,3,TZUJW,0.001,0.8067226890756303
5,0,0.543869989,0.3295939379631077,0,256,DD,3,dTM1R,0.001,0.7647058823529411
5,0,0.543869989,0.44761506073536794,0,256,DD,3,kMupb,0.001,0.8067226890756303
5,0,0.543869989,0.7793931058331514,0,256,DD,3,nQp2I,0.001,0.8487394957983193
5,0,0.543869989,0.3624178129091371,0,256,DD,3,Gav2M,0.001,0.8571428571428571
5,0,0.543869989,0.22517244453760402,0,256,DD,3,aY3pR,0.001,0.8235294117647058
5,0,0.543869989,0.563936931488705,0,256,DD,3,QIlxz,0.001,0.8487394957983193
5,0,0.543869989,0.24271420917057146,0,256,DD,3,xKwAF,0.001,0.8151260504201681
5,0,0.543869989,0.2637791728631611,0,256,DD,3,wxZS2,0.001,0.7899159663865546
5,0,0.543869989,0.7385349479911447,0,256,DD,3,YfapK,0.001,0.8235294117647058
5,0,0.543869989,0.4668453419325609,0,256,DD,3,hjyx4,0.001,0.7983193277310925
5,0,0.543869989,0.4646782854462488,0,256,DD,3,kUqKY,0.001,0.773109243697479
5,0,0.543869989,0.482596251039932,0,256,DD,3,FOXyT,0.001,0.7899159663865546
5,0,0.543869989,0.9870020728756549,0,256,DD,3,z67yp,0.001,0.8319327731092437
5,0,0.543869989,0.31368373886990164,0,256,DD,3,urefE,0.001,0.8403361344537815
5,0,0.543869989,0.6940426406713577,0,256,DD,3,pTISa,0.001,0.8235294117647058
5,0,0.543869989,0.9362352287006658,0,256,DD,3,CYgy1,0.001,0.8067226890756303
5,0,0.543869989,0.7371520056721355,0,256,DD,3,GUg9L,0.001,0.7647058823529411
5,0,0.543869989,0.40013160059425723,0,256,DD,3,Djxbx,0.001,0.8067226890756303
5,0,0.543869989,0.36531997113143155,0,256,DD,3,gog9p,0.001,0.8319327731092437
5,0,0.543869989,0.9340901817490985,0,256,DD,3,j7KcA,0.001,0.7815126050420168
5,0,0.543869989,0.7836876348748556,0,256,DD,3,dsvns,0.001,0.8151260504201681
5,0,0.543869989,0.7241219718419675,0,256,DD,3,VTT60,0.001,0.8151260504201681
5,0,0.543869989,0.6456646167520783,0,256,DD,3,Masyo,0.001,0.8151260504201681
5,0,0.543869989,0.15823616555761635,0,256,DD,3,p8ZIf,0.001,0.8151260504201681
5,0,0.543869989,0.7930695897680293,0,256,DD,3,HBVVE,0.001,0.8235294117647058
5,0,0.543869989,0.12917150386596124,0,256,DD,3,KJWSn,0.001,0.8151260504201681
5,0,0.543869989,0.10821226011074547,0,256,DD,3,S9y10,0.001,0.7983193277310925
5,0,0.543869989,0.642976338969132,0,256,DD,3,vDNZt,0.001,0.7563025210084033
5,0,0.543869989,0.1199578336317493,0,256,DD,3,oJt8K,0.001,0.8067226890756303
5,0,0.543869989,0.6525524728454426,0,256,DD,3,J6UIY,0.001,0.7647058823529411
5,0,0.543869989,0.8209892373465797,0,256,DD,3,boavU,0.001,0.8319327731092437
5,0,0.543869989,0.10291375871803915,0,256,DD,3,xIW00,0.001,0.8403361344537815
5,0,0.543869989,0.6082048343117231,0,256,DD,3,dzGMt,0.001,0.7983193277310925
5,0,0.543869989,0.12517957436918986,0,256,DD,3,y8KDg,0.001,0.7899159663865546
5,0,0.543869989,0.12056419068505919,0,256,DD,3,KarJo,0.001,0.8487394957983193
