edge_ratio,id,pooling_ratio,K,seed,reward,dataset,N,num_layers
0.893913,sioaz,0.632026586,3,777,0.7420924574209246,NCI1,1,5
0.893913,gsyKE,0.632026586,3,777,0.7907542579075426,NCI1,2,5
0.893913,QQLNe,0.632026586,3,777,0.7785888077858881,NCI1,3,5
0.893913,UCNto,0.632026586,3,777,0.7664233576642335,NCI1,4,5
0.893913,cUdFr,0.632026586,3,777,0.7664233576642335,NCI1,5,5
0.893913,Quws8,0.632026586,3,777,0.7639902676399026,NCI1,6,5
0.893913,dyzSR,0.632026586,3,777,0.7883211678832117,NCI1,7,5
0.893913,ucFLj,0.632026586,3,777,0.781021897810219,NCI1,8,5
0.893913,HuPRI,0.632026586,3,777,0.805352798053528,NCI1,9,5
0.893913,hQbKm,0.632026586,3,777,0.781021897810219,NCI1,10,5
