N,num_layers,edge_ratio,reward,dataset,id,seed,pooling_ratio,K
1,5,0.307659552,0.9017857142857143,PROTEINS,x9oQw,777,0.271521829,3
2,5,0.307659552,0.8928571428571429,PROTEINS,Bp8Ro,777,0.271521829,3
3,5,0.307659552,0.9017857142857143,PROTEINS,SYGQg,777,0.271521829,3
4,5,0.307659552,0.9017857142857143,PROTEINS,AwGEG,777,0.271521829,3
5,5,0.307659552,0.9107142857142857,PROTEINS,OkNp2,777,0.271521829,3
6,5,0.307659552,0.9107142857142857,PROTEINS,qmo9c,777,0.271521829,3
7,5,0.307659552,0.8660714285714286,PROTEINS,KlVbm,777,0.271521829,3
8,5,0.307659552,0.8839285714285714,PROTEINS,aTiPR,777,0.271521829,3
9,5,0.307659552,0.9017857142857143,PROTEINS,nj231,777,0.271521829,3
10,5,0.307659552,0.9107142857142857,PROTEINS,LbDb0,777,0.271521829,3
