pool,num_layers,dataset,conv,reward,K,seed,pooling_nodes,pooling_edges,id
NoPool,5,DD,GCN,0.6722689075630253,3,11,0.271521829,1,HYO9C
NoPool,5,DD,GCN,0.7647058823529411,3,22,0.271521829,1,pDBUd
NoPool,5,DD,GCN,0.7478991596638656,3,33,0.271521829,1,wlrkR
NoPool,5,DD,GCN,0.7310924369747899,3,44,0.271521829,1,tNm6R
NoPool,5,DD,GCN,0.6974789915966386,3,55,0.271521829,1,noLUZ
NoPool,5,DD,GCN,0.7983193277310925,3,66,0.271521829,1,C30m4
NoPool,5,DD,GCN,0.6890756302521008,3,77,0.271521829,1,cvGWV
NoPool,5,DD,GCN,0.7815126050420168,3,88,0.271521829,1,j1zxD
NoPool,5,DD,GCN,0.7310924369747899,3,99,0.271521829,1,bkp60
NoPool,5,DD,GCN,0.7815126050420168,3,110,0.271521829,1,h9lyX
NoPool,5,DD,GAT,0.6386554621848739,3,11,0.271521829,1,Pygll
NoPool,5,DD,GAT,0.7815126050420168,3,22,0.271521829,1,ds2xV
NoPool,5,DD,GAT,0.7478991596638656,3,33,0.271521829,1,ufKNf
NoPool,5,DD,GAT,0.7310924369747899,3,44,0.271521829,1,A4vFb
NoPool,5,DD,GAT,0.6974789915966386,3,55,0.271521829,1,QYFAd
NoPool,5,DD,GAT,0.8403361344537815,3,66,0.271521829,1,FuFWF
NoPool,5,DD,GAT,0.6974789915966386,3,77,0.271521829,1,I7OBP
NoPool,5,DD,GAT,0.7394957983193278,3,88,0.271521829,1,j5bq4
NoPool,5,DD,GAT,0.7310924369747899,3,99,0.271521829,1,M1iZa
NoPool,5,DD,GAT,0.7563025210084033,3,110,0.271521829,1,iwnPp
NoPool,5,DD,ChebConv,0.7394957983193278,3,11,0.271521829,1,Bw2Wn
NoPool,5,DD,ChebConv,0.8235294117647058,3,22,0.271521829,1,kTzVu
NoPool,5,DD,ChebConv,0.7563025210084033,3,33,0.271521829,1,nT3Rh
NoPool,5,DD,ChebConv,0.7815126050420168,3,44,0.271521829,1,Rtgye
NoPool,5,DD,ChebConv,0.7394957983193278,3,55,0.271521829,1,p7wvY
NoPool,5,DD,ChebConv,0.7394957983193278,3,77,0.271521829,1,eQMpS
NoPool,5,DD,ChebConv,0.8571428571428571,3,88,0.271521829,1,sbJhh
NoPool,5,DD,ChebConv,0.773109243697479,3,99,0.271521829,1,sDQIR
NoPool,5,DD,ChebConv,0.7563025210084033,3,110,0.271521829,1,jlqSh
NoPool,5,DD,LiCheb,0.8235294117647058,3,22,0.271521829,1,Zorw6
NoPool,5,DD,LiCheb,0.7142857142857143,3,33,0.271521829,1,XIGpy
NoPool,5,DD,LiCheb,0.8487394957983193,3,44,0.271521829,1,nrTIb
NoPool,5,DD,LiCheb,0.7226890756302521,3,55,0.271521829,1,x1znx
NoPool,5,DD,LiCheb,0.8151260504201681,3,66,0.271521829,1,VTXBu
NoPool,5,DD,LiCheb,0.7394957983193278,3,77,0.271521829,1,otTLo
NoPool,5,DD,LiCheb,0.7647058823529411,3,88,0.271521829,1,PqXkq
NoPool,5,DD,LiCheb,0.7058823529411765,3,99,0.271521829,1,eNAc5
NoPool,5,DD,LiCheb,0.773109243697479,3,110,0.271521829,1,aBoVf
NoPool,5,DD,LiCheb,0.7142857142857143,3,11,0.271521829,1,BFcI2
NoPool,5,DD,ChebConv,0.7647058823529411,3,66,0.271521829,1,sNbdu
