id,seed,pooling_edges,K,reward,num_layers,dataset,pooling_nodes,conv,pool
CqxTM,11,1,4,0.6137931034482759,3,FRANKENSTEIN,0.881023822,GCN,NoPool
s3ukn,22,1,4,0.632183908045977,3,FRANKENSTEIN,0.881023822,GCN,NoPool
fqfG0,33,1,4,0.6045977011494252,3,FRANKENSTEIN,0.881023822,GCN,NoPool
pyxcZ,44,1,4,0.6183908045977011,3,FRANKENSTEIN,0.881023822,GCN,NoPool
VAtjg,55,1,4,0.6413793103448275,3,FRANKENSTEIN,0.881023822,GCN,NoPool
K0OgX,66,1,4,0.6367816091954023,3,FRANKENSTEIN,0.881023822,GCN,NoPool
TN9tb,77,1,4,0.632183908045977,3,FRANKENSTEIN,0.881023822,GCN,NoPool
JEc1U,88,1,4,0.639080459770115,3,FRANKENSTEIN,0.881023822,GCN,NoPool
MAtqh,99,1,4,0.6850574712643678,3,FRANKENSTEIN,0.881023822,GCN,NoPool
dtuFq,110,1,4,0.6804597701149425,3,FRANKENSTEIN,0.881023822,GCN,NoPool
Ta3H8,11,1,4,0.6091954022988506,3,FRANKENSTEIN,0.881023822,GAT,NoPool
IlwVb,22,1,4,0.6298850574712643,3,FRANKENSTEIN,0.881023822,GAT,NoPool
oh5ta,33,1,4,0.5839080459770115,3,FRANKENSTEIN,0.881023822,GAT,NoPool
d86QG,44,1,4,0.5908045977011495,3,FRANKENSTEIN,0.881023822,GAT,NoPool
DMXc7,55,1,4,0.6183908045977011,3,FRANKENSTEIN,0.881023822,GAT,NoPool
hAoEe,66,1,4,0.6091954022988506,3,FRANKENSTEIN,0.881023822,GAT,NoPool
N4ZF9,77,1,4,0.5977011494252874,3,FRANKENSTEIN,0.881023822,GAT,NoPool
orWcq,88,1,4,0.5862068965517241,3,FRANKENSTEIN,0.881023822,GAT,NoPool
wrKfZ,99,1,4,0.5701149425287356,3,FRANKENSTEIN,0.881023822,GAT,NoPool
CmXD9,110,1,4,0.5908045977011495,3,FRANKENSTEIN,0.881023822,GAT,NoPool
UWOj4,11,1,4,0.6482758620689655,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
xQtlC,22,1,4,0.6758620689655173,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
WXz2k,33,1,4,0.6896551724137931,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
eo91h,44,1,4,0.6160919540229886,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
XHbKm,55,1,4,0.6597701149425287,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
swVmV,66,1,4,0.664367816091954,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
octze,77,1,4,0.6413793103448275,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
hdfVH,88,1,4,0.6942528735632184,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
CwrF1,99,1,4,0.6505747126436782,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
bUplR,110,1,4,0.671264367816092,3,FRANKENSTEIN,0.881023822,ChebConv,NoPool
AXHjt,11,1,4,0.6666666666666666,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
jVfVF,22,1,4,0.6574712643678161,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
drSjr,33,1,4,0.664367816091954,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
OwJxy,44,1,4,0.5977011494252874,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
BdG4Z,55,1,4,0.6689655172413793,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
nuJzd,66,1,4,0.671264367816092,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
bMmMh,77,1,4,0.6551724137931034,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
yesdX,88,1,4,0.6758620689655173,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
kAk6V,99,1,4,0.6528735632183909,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
jQLNC,110,1,4,0.6758620689655173,3,FRANKENSTEIN,0.881023822,LiCheb,NoPool
