K,id,dataset,num_layers,conv,reward,decoupled,pooling_edges,pooling_nodes,pool,seed
1,osK7G,ENZYMES,4,ChebConv,0.4,True,1,0.799915408,NoPool,22
1,BftMx,ENZYMES,4,ChebConv,0.4166666666666667,True,1,0.799915408,NoPool,33
1,wEUSx,ENZYMES,4,ChebConv,0.6666666666666666,True,1,0.799915408,NoPool,44
1,NrXGY,ENZYMES,4,ChebConv,0.4166666666666667,True,1,0.799915408,NoPool,55
1,FPz7w,ENZYMES,4,ChebConv,0.48333333333333334,True,1,0.799915408,NoPool,66
1,BPYAj,ENZYMES,4,ChebConv,0.5666666666666667,True,1,0.799915408,NoPool,77
1,I0fOw,ENZYMES,4,ChebConv,0.2,True,1,0.799915408,NoPool,88
1,d7YHF,ENZYMES,4,ChebConv,0.3333333333333333,True,1,0.799915408,NoPool,99
1,Lh2cw,ENZYMES,4,ChebConv,0.23333333333333334,True,1,0.799915408,NoPool,110
1,XFsBA,ENZYMES,4,ChebConv,0.4166666666666667,False,1,0.799915408,NoPool,11
1,Q4X9H,ENZYMES,4,ChebConv,0.26666666666666666,False,1,0.799915408,NoPool,22
1,CwJxj,ENZYMES,4,ChebConv,0.5166666666666667,False,1,0.799915408,NoPool,33
1,AcP3F,ENZYMES,4,ChebConv,0.5666666666666667,False,1,0.799915408,NoPool,44
1,mnbz8,ENZYMES,4,ChebConv,0.35,False,1,0.799915408,NoPool,55
1,vwpnc,ENZYMES,4,ChebConv,0.45,False,1,0.799915408,NoPool,66
1,emHix,ENZYMES,4,ChebConv,0.6333333333333333,False,1,0.799915408,NoPool,77
1,I8lSJ,ENZYMES,4,ChebConv,0.26666666666666666,False,1,0.799915408,NoPool,88
1,Vqluf,ENZYMES,4,ChebConv,0.23333333333333334,False,1,0.799915408,NoPool,99
1,WzKvN,ENZYMES,4,ChebConv,0.35,False,1,0.799915408,NoPool,110
1,XRmUi,ENZYMES,4,LiCheb,0.5,True,1,0.799915408,NoPool,11
1,gWbIc,ENZYMES,4,LiCheb,0.31666666666666665,True,1,0.799915408,NoPool,22
1,dMgEs,ENZYMES,4,LiCheb,0.2833333333333333,True,1,0.799915408,NoPool,33
1,WVGR6,ENZYMES,4,LiCheb,0.4166666666666667,True,1,0.799915408,NoPool,44
1,QP5wV,ENZYMES,4,LiCheb,0.36666666666666664,True,1,0.799915408,NoPool,55
1,A8X9a,ENZYMES,4,LiCheb,0.5166666666666667,True,1,0.799915408,NoPool,66
1,Umvva,ENZYMES,4,ChebConv,0.6333333333333333,True,1,0.799915408,NoPool,11
1,G7ilN,ENZYMES,4,LiCheb,0.5,True,1,0.799915408,NoPool,77
1,qKhHU,ENZYMES,4,LiCheb,0.25,True,1,0.799915408,NoPool,88
1,Y9504,ENZYMES,4,LiCheb,0.26666666666666666,True,1,0.799915408,NoPool,99
1,w9GvC,ENZYMES,4,LiCheb,0.4666666666666667,True,1,0.799915408,NoPool,110
1,HxB3o,ENZYMES,4,LiCheb,0.5833333333333334,False,1,0.799915408,NoPool,11
1,cjRnu,ENZYMES,4,LiCheb,0.25,False,1,0.799915408,NoPool,22
1,r6CxO,ENZYMES,4,LiCheb,0.45,False,1,0.799915408,NoPool,33
1,NVVyG,ENZYMES,4,LiCheb,0.5833333333333334,False,1,0.799915408,NoPool,44
1,MH7e5,ENZYMES,4,LiCheb,0.35,False,1,0.799915408,NoPool,55
1,Cu1N2,ENZYMES,4,LiCheb,0.5666666666666667,False,1,0.799915408,NoPool,66
1,DhLQn,ENZYMES,4,LiCheb,0.5833333333333334,False,1,0.799915408,NoPool,77
1,vr4fQ,ENZYMES,4,LiCheb,0.31666666666666665,False,1,0.799915408,NoPool,88
1,JMhsH,ENZYMES,4,LiCheb,0.21666666666666667,False,1,0.799915408,NoPool,99
1,kiqns,ENZYMES,4,LiCheb,0.23333333333333334,False,1,0.799915408,NoPool,110
