pooling_nodes,id,dataset,seed,num_layers,conv,pool,reward,pooling_edges,decoupled,K
0.881023822,G0wd7,FRANKENSTEIN,11,3,ChebConv,NoPool,0.6620689655172414,1,True,4
0.881023822,LBZ6o,FRANKENSTEIN,22,3,ChebConv,NoPool,0.6551724137931034,1,True,4
0.881023822,qLmxo,FRANKENSTEIN,33,3,ChebConv,NoPool,0.6597701149425287,1,True,4
0.881023822,Y6ume,FRANKENSTEIN,44,3,ChebConv,NoPool,0.6045977011494252,1,True,4
0.881023822,BoZ0b,FRANKENSTEIN,55,3,ChebConv,NoPool,0.6367816091954023,1,True,4
0.881023822,F2egH,FRANKENSTEIN,66,3,ChebConv,NoPool,0.6298850574712643,1,True,4
0.881023822,iFHgt,FRANKENSTEIN,77,3,ChebConv,NoPool,0.639080459770115,1,True,4
0.881023822,qNBut,FRANKENSTEIN,88,3,ChebConv,NoPool,0.6689655172413793,1,True,4
0.881023822,XimGC,FRANKENSTEIN,99,3,ChebConv,NoPool,0.6275862068965518,1,True,4
0.881023822,XSvCO,FRANKENSTEIN,110,3,ChebConv,NoPool,0.639080459770115,1,True,4
0.881023822,V7GKZ,FRANKENSTEIN,11,3,ChebConv,NoPool,0.664367816091954,1,False,4
0.881023822,D3ywf,FRANKENSTEIN,22,3,ChebConv,NoPool,0.6804597701149425,1,False,4
0.881023822,jgfE7,FRANKENSTEIN,33,3,ChebConv,NoPool,0.6873563218390805,1,False,4
0.881023822,LgxVq,FRANKENSTEIN,44,3,ChebConv,NoPool,0.6091954022988506,1,False,4
0.881023822,LjaSZ,FRANKENSTEIN,55,3,ChebConv,NoPool,0.6551724137931034,1,False,4
0.881023822,SyuCS,FRANKENSTEIN,66,3,ChebConv,NoPool,0.6298850574712643,1,False,4
0.881023822,iN9pE,FRANKENSTEIN,77,3,ChebConv,NoPool,0.6229885057471264,1,False,4
0.881023822,RoxTa,FRANKENSTEIN,88,3,ChebConv,NoPool,0.7057471264367816,1,False,4
0.881023822,O2fTz,FRANKENSTEIN,99,3,ChebConv,NoPool,0.6574712643678161,1,False,4
0.881023822,NsGZ9,FRANKENSTEIN,110,3,ChebConv,NoPool,0.6206896551724138,1,False,4
0.881023822,xl7GV,FRANKENSTEIN,11,3,LiCheb,NoPool,0.6206896551724138,1,True,4
0.881023822,AhITQ,FRANKENSTEIN,22,3,LiCheb,NoPool,0.6735632183908046,1,True,4
0.881023822,VJvlh,FRANKENSTEIN,33,3,LiCheb,NoPool,0.6597701149425287,1,True,4
0.881023822,etRLm,FRANKENSTEIN,44,3,LiCheb,NoPool,0.5862068965517241,1,True,4
0.881023822,KjaLG,FRANKENSTEIN,55,3,LiCheb,NoPool,0.6482758620689655,1,True,4
0.881023822,aYV3t,FRANKENSTEIN,66,3,LiCheb,NoPool,0.6666666666666666,1,True,4
0.881023822,KYoOO,FRANKENSTEIN,77,3,LiCheb,NoPool,0.6574712643678161,1,True,4
0.881023822,Od8cK,FRANKENSTEIN,88,3,LiCheb,NoPool,0.6804597701149425,1,True,4
0.881023822,iLaxa,FRANKENSTEIN,99,3,LiCheb,NoPool,0.6505747126436782,1,True,4
0.881023822,GCwaq,FRANKENSTEIN,110,3,LiCheb,NoPool,0.6666666666666666,1,True,4
0.881023822,GspC4,FRANKENSTEIN,11,3,LiCheb,NoPool,0.6505747126436782,1,False,4
0.881023822,nRmEE,FRANKENSTEIN,22,3,LiCheb,NoPool,0.6758620689655173,1,False,4
0.881023822,GeSfv,FRANKENSTEIN,33,3,LiCheb,NoPool,0.6597701149425287,1,False,4
0.881023822,f1KJd,FRANKENSTEIN,44,3,LiCheb,NoPool,0.6459770114942529,1,False,4
0.881023822,QxOwQ,FRANKENSTEIN,55,3,LiCheb,NoPool,0.664367816091954,1,False,4
0.881023822,w2sIP,FRANKENSTEIN,66,3,LiCheb,NoPool,0.6781609195402298,1,False,4
0.881023822,lVisi,FRANKENSTEIN,77,3,LiCheb,NoPool,0.6689655172413793,1,False,4
0.881023822,fo3J2,FRANKENSTEIN,88,3,LiCheb,NoPool,0.6804597701149425,1,False,4
0.881023822,aXJ0m,FRANKENSTEIN,99,3,LiCheb,NoPool,0.6459770114942529,1,False,4
0.881023822,hK6c8,FRANKENSTEIN,110,3,LiCheb,NoPool,0.6505747126436782,1,False,4
