pooling_nodes,pooling_edges,num_layers,conv,pool,K,dataset,seed,decoupled,reward,id
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,11,True,0.7946428571428571,xGz8z
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,22,True,0.6964285714285714,sTwqM
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,33,True,0.6785714285714286,i93fx
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,44,True,0.75,YWKvi
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,55,True,0.7053571428571429,XK6F5
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,66,True,0.8125,kZAbA
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,77,True,0.8125,uIZWm
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,88,True,0.7678571428571429,swEYC
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,99,True,0.7142857142857143,H5n6Z
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,110,True,0.6964285714285714,njyP6
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,11,False,0.7232142857142857,vedXd
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,22,False,0.7321428571428571,YJu73
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,33,False,0.7321428571428571,sdsXY
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,44,False,0.6875,E6Xad
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,55,False,0.75,SKJiP
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,66,False,0.8125,CjbSH
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,77,False,0.8125,hLKEY
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,88,False,0.7767857142857143,ifpE5
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,99,False,0.7053571428571429,ByASi
0.271521829,1,5,ChebConv,NoPool,3,PROTEINS,110,False,0.6875,tw5Gq
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,11,True,0.7321428571428571,OX6aM
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,22,True,0.7053571428571429,BO6mH
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,33,True,0.7142857142857143,KobfI
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,44,True,0.7589285714285714,OM8sk
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,55,True,0.7321428571428571,uthLo
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,66,True,0.8125,Vguot
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,77,True,0.8214285714285714,SKPIJ
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,88,True,0.7767857142857143,B3ML0
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,99,True,0.6964285714285714,exCte
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,110,True,0.7589285714285714,WQAcy
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,11,False,0.7767857142857143,z9mIl
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,22,False,0.7142857142857143,hpjxQ
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,33,False,0.7410714285714286,sq8Sv
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,44,False,0.7321428571428571,j9ALj
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,55,False,0.7678571428571429,fkNvw
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,66,False,0.8303571428571429,FxaTd
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,77,False,0.7767857142857143,LJtlT
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,88,False,0.7857142857142857,TtY6i
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,99,False,0.7142857142857143,VJoha
0.271521829,1,5,LiCheb,NoPool,3,PROTEINS,110,False,0.75,icChn
