pooling_edges,K,seed,id,pooling_nodes,pool,dataset,num_layers,reward,conv
1,1,11,jxEAR,0.799915408,TopkPool,ENZYMES,4,0.5166666666666667,LiCheb
1,1,22,Gm9GJ,0.799915408,TopkPool,ENZYMES,4,0.21666666666666667,LiCheb
1,1,33,kEYaw,0.799915408,TopkPool,ENZYMES,4,0.2,LiCheb
1,1,44,lGrM0,0.799915408,TopkPool,ENZYMES,4,0.48333333333333334,LiCheb
1,1,55,mNXc4,0.799915408,TopkPool,ENZYMES,4,0.3,LiCheb
1,1,66,ROry7,0.799915408,TopkPool,ENZYMES,4,0.3,LiCheb
1,1,77,K2g3B,0.799915408,TopkPool,ENZYMES,4,0.5833333333333334,LiCheb
1,1,88,FiJCk,0.799915408,TopkPool,ENZYMES,4,0.3,LiCheb
1,1,99,NYc9U,0.799915408,TopkPool,ENZYMES,4,0.31666666666666665,LiCheb
1,1,110,vIcPn,0.799915408,TopkPool,ENZYMES,4,0.16666666666666666,LiCheb
1,1,11,WOvnr,0.799915408,SAGPool,ENZYMES,4,0.3333333333333333,LiCheb
1,1,22,Y69ei,0.799915408,SAGPool,ENZYMES,4,0.11666666666666667,LiCheb
1,1,33,ZO1hX,0.799915408,SAGPool,ENZYMES,4,0.35,LiCheb
1,1,44,QO26E,0.799915408,SAGPool,ENZYMES,4,0.43333333333333335,LiCheb
1,1,55,CJWT0,0.799915408,SAGPool,ENZYMES,4,0.21666666666666667,LiCheb
1,1,66,JAfzG,0.799915408,SAGPool,ENZYMES,4,0.3333333333333333,LiCheb
1,1,77,BvnQs,0.799915408,SAGPool,ENZYMES,4,0.6,LiCheb
1,1,88,NUEDv,0.799915408,SAGPool,ENZYMES,4,0.35,LiCheb
1,1,99,NAY8d,0.799915408,SAGPool,ENZYMES,4,0.31666666666666665,LiCheb
1,1,110,xRZq1,0.799915408,SAGPool,ENZYMES,4,0.55,LiCheb
1,1,11,r4SHl,0.799915408,EdgePool,ENZYMES,4,0.5,LiCheb
1,1,22,yheRH,0.799915408,EdgePool,ENZYMES,4,0.26666666666666666,LiCheb
1,1,33,JXspw,0.799915408,EdgePool,ENZYMES,4,0.26666666666666666,LiCheb
1,1,44,HgPVt,0.799915408,EdgePool,ENZYMES,4,0.4666666666666667,LiCheb
1,1,55,kBq46,0.799915408,EdgePool,ENZYMES,4,0.3,LiCheb
1,1,66,LWZIo,0.799915408,EdgePool,ENZYMES,4,0.2833333333333333,LiCheb
1,1,77,oyATg,0.799915408,EdgePool,ENZYMES,4,0.45,LiCheb
1,1,88,mq7yn,0.799915408,EdgePool,ENZYMES,4,0.21666666666666667,LiCheb
1,1,99,VobM9,0.799915408,EdgePool,ENZYMES,4,0.31666666666666665,LiCheb
1,1,110,CGLQK,0.799915408,EdgePool,ENZYMES,4,0.21666666666666667,LiCheb
1,1,11,ol1EH,0.799915408,ASAPPool,ENZYMES,4,0.45,LiCheb
1,1,22,Orf1F,0.799915408,ASAPPool,ENZYMES,4,0.2,LiCheb
1,1,33,IXiyt,0.799915408,ASAPPool,ENZYMES,4,0.18333333333333332,LiCheb
1,1,44,juydb,0.799915408,ASAPPool,ENZYMES,4,0.5166666666666667,LiCheb
1,1,55,JbIyu,0.799915408,ASAPPool,ENZYMES,4,0.2833333333333333,LiCheb
1,1,66,biCNH,0.799915408,ASAPPool,ENZYMES,4,0.26666666666666666,LiCheb
1,1,77,z5Dxk,0.799915408,ASAPPool,ENZYMES,4,0.48333333333333334,LiCheb
1,1,88,CMWXw,0.799915408,ASAPPool,ENZYMES,4,0.15,LiCheb
1,1,99,pzgvp,0.799915408,ASAPPool,ENZYMES,4,0.3333333333333333,LiCheb
1,1,110,ZHMJ1,0.799915408,ASAPPool,ENZYMES,4,0.26666666666666666,LiCheb
1,1,11,EWMoB,0.799915408,LookHops,ENZYMES,4,0.6166666666666667,LiCheb
1,1,22,XC1mg,0.799915408,LookHops,ENZYMES,4,0.26666666666666666,LiCheb
1,1,33,XAmYF,0.799915408,LookHops,ENZYMES,4,0.4,LiCheb
1,1,44,d15tJ,0.799915408,LookHops,ENZYMES,4,0.6166666666666667,LiCheb
1,1,55,KKNTc,0.799915408,LookHops,ENZYMES,4,0.3,LiCheb
1,1,66,KPoUM,0.799915408,LookHops,ENZYMES,4,0.48333333333333334,LiCheb
1,1,77,HDbu0,0.799915408,LookHops,ENZYMES,4,0.45,LiCheb
1,1,88,S0iAB,0.799915408,LookHops,ENZYMES,4,0.4,LiCheb
1,1,99,rhol0,0.799915408,LookHops,ENZYMES,4,0.2833333333333333,LiCheb
1,1,110,dLe0f,0.799915408,LookHops,ENZYMES,4,0.23333333333333334,LiCheb
