num_layers,seed,dataset,id,pooling_edges,K,conv,reward,pool,pooling_nodes
5,11,PROTEINS,QrGBv,1,3,LiCheb,0.7946428571428571,LookHops,0.4
5,33,PROTEINS,hqaEr,1,3,LiCheb,0.7946428571428571,LookHops,0.4
5,44,PROTEINS,ZMy86,1,3,LiCheb,0.6964285714285714,LookHops,0.4
5,55,PROTEINS,NZqtc,1,3,LiCheb,0.7232142857142857,LookHops,0.4
5,66,PROTEINS,hxHoP,1,3,LiCheb,0.7767857142857143,LookHops,0.4
5,99,PROTEINS,gKsLH,1,3,LiCheb,0.6875,LookHops,0.4
5,110,PROTEINS,Zr63L,1,3,LiCheb,0.7857142857142857,LookHops,0.4
5,44,PROTEINS,DTD3e,1,3,LiCheb,0.7946428571428571,LookHops,0.5
5,55,PROTEINS,ewy9P,1,3,LiCheb,0.75,LookHops,0.5
5,66,PROTEINS,ZLTeY,1,3,LiCheb,0.7589285714285714,LookHops,0.5
5,22,PROTEINS,m7sSJ,1,3,LiCheb,0.6964285714285714,LookHops,0.4
5,77,PROTEINS,LQ0lP,1,3,LiCheb,0.7946428571428571,LookHops,0.4
5,88,PROTEINS,u7CEz,1,3,LiCheb,0.75,LookHops,0.4
5,11,PROTEINS,CqrP2,1,3,LiCheb,0.75,LookHops,0.5
5,22,PROTEINS,O5QxQ,1,3,LiCheb,0.6875,LookHops,0.5
5,33,PROTEINS,xlmBO,1,3,LiCheb,0.75,LookHops,0.5
5,77,PROTEINS,gufkX,1,3,LiCheb,0.7946428571428571,LookHops,0.5
5,88,PROTEINS,pCvSG,1,3,LiCheb,0.7232142857142857,LookHops,0.5
5,99,PROTEINS,d7NJ5,1,3,LiCheb,0.6964285714285714,LookHops,0.5
5,110,PROTEINS,rOlSw,1,3,LiCheb,0.7589285714285714,LookHops,0.5
5,11,PROTEINS,vJVC5,1,3,LiCheb,0.8125,LookHops,0.6
5,22,PROTEINS,i5SBd,1,3,LiCheb,0.75,LookHops,0.6
5,33,PROTEINS,tgU6y,1,3,LiCheb,0.6964285714285714,LookHops,0.6
5,44,PROTEINS,pw6ew,1,3,LiCheb,0.7410714285714286,LookHops,0.6
5,66,PROTEINS,Mv5lk,1,3,LiCheb,0.7946428571428571,LookHops,0.6
5,77,PROTEINS,wAbOt,1,3,LiCheb,0.8571428571428571,LookHops,0.6
5,88,PROTEINS,ccKUf,1,3,LiCheb,0.7767857142857143,LookHops,0.6
5,99,PROTEINS,j5691,1,3,LiCheb,0.7142857142857143,LookHops,0.6
5,110,PROTEINS,gRlyt,1,3,LiCheb,0.7232142857142857,LookHops,0.6
5,11,PROTEINS,jpQEq,1,3,LiCheb,0.7678571428571429,LookHops,0.7
5,22,PROTEINS,h0ISl,1,3,LiCheb,0.7232142857142857,LookHops,0.7
5,33,PROTEINS,SmhXc,1,3,LiCheb,0.7053571428571429,LookHops,0.7
5,44,PROTEINS,uXLFu,1,3,LiCheb,0.7857142857142857,LookHops,0.7
5,55,PROTEINS,iIBta,1,3,LiCheb,0.75,LookHops,0.7
5,66,PROTEINS,RiVnE,1,3,LiCheb,0.8125,LookHops,0.7
5,77,PROTEINS,deCD0,1,3,LiCheb,0.8392857142857143,LookHops,0.7
5,99,PROTEINS,QPgvT,1,3,LiCheb,0.6964285714285714,LookHops,0.7
5,110,PROTEINS,AXiLE,1,3,LiCheb,0.7321428571428571,LookHops,0.7
5,11,PROTEINS,apYq3,1,3,LiCheb,0.7232142857142857,LookHops,0.8
5,22,PROTEINS,EenI8,1,3,LiCheb,0.6964285714285714,LookHops,0.8
5,33,PROTEINS,ZbadR,1,3,LiCheb,0.7232142857142857,LookHops,0.8
5,44,PROTEINS,q08m1,1,3,LiCheb,0.7589285714285714,LookHops,0.8
5,55,PROTEINS,NLEqs,1,3,LiCheb,0.7410714285714286,LookHops,0.8
5,66,PROTEINS,V0O80,1,3,LiCheb,0.8303571428571429,LookHops,0.8
5,77,PROTEINS,dmOeN,1,3,LiCheb,0.8214285714285714,LookHops,0.8
5,88,PROTEINS,wGRWx,1,3,LiCheb,0.7410714285714286,LookHops,0.8
5,99,PROTEINS,ZWqox,1,3,LiCheb,0.6964285714285714,LookHops,0.8
5,110,PROTEINS,KPyNG,1,3,LiCheb,0.7321428571428571,LookHops,0.8
5,55,PROTEINS,loyjC,1,3,LiCheb,0.7321428571428571,LookHops,0.9
5,110,PROTEINS,cJ9tc,1,3,LiCheb,0.6875,LookHops,0.9
5,99,PROTEINS,KeDlo,1,3,LiCheb,0.7232142857142857,LookHops,0.9
5,88,PROTEINS,RU3vd,1,3,LiCheb,0.7678571428571429,LookHops,0.9
5,77,PROTEINS,J0ZBL,1,3,LiCheb,0.8035714285714286,LookHops,0.9
5,66,PROTEINS,FWkV7,1,3,LiCheb,0.8392857142857143,LookHops,0.9
5,44,PROTEINS,Yb4BR,1,3,LiCheb,0.7410714285714286,LookHops,0.9
5,33,PROTEINS,M9apX,1,3,LiCheb,0.6964285714285714,LookHops,0.9
5,22,PROTEINS,w6x7F,1,3,LiCheb,0.7053571428571429,LookHops,0.9
5,55,PROTEINS,v7xIo,1,3,LiCheb,0.7678571428571429,LookHops,0.6
